Sentence,Sentiment,Length,Word_Count,Cleaned_Text,Final_Text,Label
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,149,27,the six breweries recorded a  percent growth in domestic beer sales last year to  million liters  from  million liters sold in  ,six brewery recorded percent growth domestic beer sale last million liter million liter sold,2
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,138,27,in augustoctober   the company s result before taxes totalled eur  mn  up from eur  mn in the corresponding period in  ,augustoctober result tax totalled eur mn eur mn corresponding period,2
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,102,16,systeemitiimi s sales and project resources will also be strengthened  director paul skogberg said ,systeemitiimi sale project resource also strengthened director paul skogberg,2
Tesco share price jumps as Q3 sales top estimates,positive,49,9,tesco share price jumps as q sales top estimates,tesco share price jump q sale top estimate,2
The fine print is here .,neutral,24,6,the fine print is here ,fine print,1
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,94,19,the price for logs has clearly improved from  and also the price of pulpwood has gone up ,price log clearly improved also price pulpwood gone,2
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,184,36,thus  sysopen digia has  in accordance with chapter  section  of the finnish companies act     obtained title to all the shares of sentera that are to be redeemed ,thus sysopen digia accordance chapter section finnish company act obtained title share sentera redeemed,1
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,67,15,diluted earnings per share  eps  fell to eur  from eur  ,diluted earnings per share eps fell eur eur,1
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,95,21,at  pm eastern time  a block of  contracts changed hands at a bid price of   ,pm eastern time block contract changed hand bid price,1
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,187,31,some of the most recent technology deliveries include refinery technology to anrak aluminium  an iron ore pelletizing plant to tata steel and iron ore sintering plants to bhushan steel ,recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plant bhushan steel,1
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,106,19,vips similar pattern like beginning of may did u sell same nowwill go up much higher after this drop,vip similar pattern like beginning may u sell nowwill go much higher drop,2
The firm generated sales of 187 mln eur in 2005 .,neutral,49,11,the firm generated sales of  mln eur in  ,firm generated sale mln eur,1
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,172,27,stora enso has also had meetings with the labor authorities  employment and economic development centres and representatives of the government in order to find solutions ,stora enso also meeting labor authority employment economic development centre representative government order find solution,1
AstraZeneca profit down as sales of stalwarts fade,negative,50,8,astrazeneca profit down as sales of stalwarts fade,astrazeneca profit sale stalwart fade,0
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,124,14,rt  chartology yahoo  yhoo  crazy looking chart but nearing breakout resistance line,rt chartology yahoo yhoo crazy looking chart nearing breakout resistance line,2
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,132,20,most bullish stocks on twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more ,bullish stock twitter dip yhoo gdx googl stz gold ew vz celg sbux scty,2
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,80,13,finnish geosentric s net sales decreased to eur  in januarymarch  ,finnish geosentric net sale decreased eur januarymarch,0
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,102,21,cohen  steers  inc     shares representing   of the share capital and voting rights ,cohen steer inc share representing share capital voting right,1
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,143,25,more staff has been recruited in japan to further complement its network of close to  service locations in more than  countries worldwide ,staff recruited japan complement network close service location country worldwide,2
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,178,35,paper companies were in negative territories  with stora enso r shedding  pct to  eur  upmkymmene down  pct at  eur and mreal b  pct lower at  eur ,paper company negative territory stora enso r shedding pct eur upmkymmene pct eur mreal b pct lower eur,1
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,181,28,kaukotelko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year ,kaukotelko centralized administration dissolved appropriate part transferred operating activity group administration end,1
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,98,19,operating profit for the quarter apriljune  amounted to eur  m on sales of eur  bn ,operating profit quarter apriljune amounted eur sale eur bn,1
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,117,21,atria chose the delight to attract consumers in the  age group to its atria fresh range of microwaveable meals ,atrium chose delight attract consumer age group atrium fresh range microwaveable meal,1
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,221,42,finnish it solutions provider affecto oyj hel  afev said today its slipped to a net loss of eur  usd  in the second quarter of  from a profit of eur  in the corresponding period a year earlier ,finnish solution provider affecto oyj hel afev today slipped net loss eur usd second quarter profit eur corresponding period earlier,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,57,8,us sanctions put gazpromshell alliance plans in jeopardy,u sanction put gazpromshell alliance plan jeopardy,0
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,71,17,profit for the period was eur  mn  down from eur  mn in  ,profit period eur mn eur mn,1
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,59,15,profit for the period was eur  mn  up from eur  mn ,profit period eur mn eur mn,2
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,85,18,operating profit fell to eur  mn from eur  mn in the second quarter of  ,operating profit fell eur mn eur mn second quarter,1
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,81,15,however  sales returned to growth in apriljune   ceo pekka eloholma said ,however sale returned growth apriljune ceo pekka eloholma,2
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,60,13,operating profit totaled eur  mn or   of net sales ,operating profit totaled eur mn net sale,1
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,178,27,changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the kauhava plant  according to the company ,change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according,0
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,112,23,in connection with the deal  digia will employ  persons from nokia in oslo and in silicon valley in the usa ,connection deal digia employ person nokia oslo silicon valley usa,1
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+Ãºo , as saying .",positive,216,35,the brazilian unit of finnish security solutions provider fsecure signed up  new clients last year  online news source reseller web quoted the division s commercial director  vladimir brandãºo  as saying ,brazilian unit finnish security solution provider fsecure signed new client last online news source reseller web quoted division commercial director vladimir brandãºo saying,2
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,144,28,the fair value of the company s investment properties went down to eur  billion at the end of  from eur  billion a year earlier ,fair value investment property went eur billion end eur billion earlier,1
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,274,54,dealers said the share was largely hit by investor disappointment about a refining margin of just  usd per barrel for the quarter and the performance of its shipping unit  which saw ebit drop to  mln eur from  mln eur a year amid a fall in volumes and tanker rates ,dealer share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur amid fall volume tanker rate,0
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,111,24, it is a testament to the quality of our lte solution and our commitment to the japanese market   he added ,testament quality lte solution commitment japanese market added,1
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,105,20,the companies  aim is to finalize the negotiations and sign the contracts at the start of october  ,company aim finalize negotiation sign contract start october,1
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,111,19,metso foundries jyvaskyla oy will discontinue production on this line by  september   the company said ,metso foundry jyvaskyla oy discontinue production line september,1
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,143,33,a total six of the polled analysts rated mreal  two gave  buy    accumulate   three gave  hold  and only one gave  sell  ,total six polled analyst rated mreal two gave buy accumulate three gave hold one gave sell,1
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,141,29,in september   the finnish group agreed to buy danish company rose poultry as for up to eur  m in a combination of cash and stock ,september finnish group agreed buy danish rose poultry eur combination cash stock,2
$YANG Double bottom 5.2,positive,23,4,yang double bottom ,yang double bottom,2
Tesco share price down as grocer faces SFO investigation outcome,negative,64,10,tesco share price down as grocer faces sfo investigation outcome,tesco share price grocer face sfo investigation outcome,0
$aapl news is becoming very bullish again http://stks.co/tMU,positive,60,8,aapl news is becoming very bullish again ,aapl news becoming bullish,2
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,159,30,gs engineering will install the valves at a liquefied natural gas lng plant it has built for uae lng extraction and gas plants operator gasco in ruwais  uae ,g engineering install valve liquefied natural gas lng plant built uae lng extraction gas plant operator gasco ruwais uae,1
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,199,34,the percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the trade register and the total number of voting rights related to them ,percentage share voting right calculated proportion total number share registered trade register total number voting right related,1
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,117,25,mreal said there are  no grounds  for the rumors  which  have been circulating in the market for some months  ,mreal ground rumor circulating market month,1
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,173,30,lember said the matter was topical also in estonia  where a bill has been drafted at the social affairs ministry that would scrap oldage pensions on favorable conditions ,lember matter topical also estonia bill drafted social affair ministry would scrap oldage pension favorable condition,1
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,193,37, moody s said it gave p a longterm senior unsecured and p p shortterm debt ratings to finnish lender aktia bank s eurbn usd  bn euro mediumterm note emtn program of  march  ,moody gave p longterm senior unsecured p p shortterm debt rating finnish lender aktia bank eurbn usd bn euro mediumterm note emtn program march,1
$TSLA recall,negative,12,2,tsla recall,tsla recall,0
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,164,29,the liquidity providing was interrupted on may    when aspocomp group oyj s shares traded below  cent  aspocomp s stock exchange release   ,liquidity providing interrupted may aspocomp group oyj share traded cent aspocomp stock exchange release,1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,69,11,hargreaves lansdown bucks weak markets to see assets rise  percent,hargreaves lansdown buck weak market see asset rise percent,2
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,72,16,at  pm  the omx helsinki  index was  pct lower at  ,pm omx helsinki index pct lower,0
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,152,25,the decision means temporary layoffs of fixed duration at the company s nastola and jyvaskyla units  in southern and central finland  respectively ,decision mean temporary layoff fixed duration nastola jyvaskyla unit southern central finland respectively,1
The value of the orders is over EUR 10mn .,neutral,42,10,the value of the orders is over eur mn ,value order eur mn,1
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,120,23,ms laakso will be responsible for hkscan s hr functions and for their development in all of the group  smarket areas ,m laakso responsible hkscan hr function development group smarket area,1
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,154,24,fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company  wartsila corporation ,fiskars also engaged global supply marine energy equipment solution service associated wartsila corporation,1
Aberdeen Asset Management Gains Foothold In China,positive,49,7,aberdeen asset management gains foothold in china,aberdeen asset management gain foothold china,2
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,128,21,finland s dominating rail company vr is planning to set the infected passengers for longdistance trip in a separate carriage ,finland dominating rail vr planning set infected passenger longdistance trip separate carriage,1
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,117,20,in november  the finnish government decreased its ownership in the company further to  percent from  percent ,november finnish government decreased ownership percent percent,1
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,296,52,finnish exel composites  a technology company that designs  manufactures  and markets composite profiles and tubes for various industrial applications  reports its net sales decreased by   in the second quarter of  to eur  mn from eur  mn in the corresponding period in  ,finnish exel composite technology design manufacture market composite profile tube various industrial application report net sale decreased second quarter eur mn eur mn corresponding period,1
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,178,31,of bavelloni s and nst s joint ventures  bavelloni tools  completes semiproducts that are produced in italy into highquality tools that will be sold under the diapol brand ,bavelloni nst joint venture bavelloni tool completes semiproducts produced italy highquality tool sold diapol brand,1
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,152,28,the tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind ,tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind,1
$GOOGL is a short below 740 into the upper BB and is overbought,negative,63,13,googl is a short below  into the upper bb and is overbought,googl short upper bb overbought,0
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,126,23,lights out before curfew  curl up with the latest bestseller and treat your eyes to the perfect reading light from luceplan ,light curfew curl latest bestseller treat eye perfect reading light luceplan,1
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,181,33,upmkymmene corp  the world s largest maker of magazine paper  on tuesday reported a percent profit drop as lower paper prices  higher costs and a strong euro hurt revenue ,upmkymmene corp world largest maker magazine paper tuesday reported percent profit drop lower paper price higher cost strong euro hurt revenue,0
The total value of the contract is some EUR 8 million .,neutral,55,12,the total value of the contract is some eur  million ,total value contract eur million,1
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,184,34,the prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire aspo shares to the amount determined by the board in advance  in the maximum ,prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance maximum,1
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,143,26,mr doring has been with eaton since  and acted as the business unit manager for eaton s power controls business unit since january  ,mr doring eaton since acted business unit manager eaton power control business unit since january,1
